,index,County,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,summed,Solar Energy Percentage
0,14,Custer,68.4,1204.0,314.0,0.6,5.2,541.9,55.8,22.8,3.6,2216.3,2.5177096963407477
1,53,Rio Grande,1798.3,884.4,946.5,17.9,0.0,934.1,68.2,61.4,6.7,4717.499999999999,1.4456809750927402
2,55,Saguache,681.0,930.4,352.3,21.3,13.5,660.8,36.9,43.9,30.7,2770.8,1.3317453443048937
3,10,Clear Creek,2224.8,877.5,738.2,8.4,0.0,441.0,56.8,56.2,32.5,4435.4,1.2806060332777203
4,57,San Miguel,1593.5,511.5,1025.0,17.4,0.6,330.1,39.0,1.2,7.8,3526.1,1.106037832165849
5,46,Ouray,1004.8,558.0,300.0,0.0,0.0,310.6,24.0,9.0,5.3,2211.7000000000003,1.085138129041009
6,3,Archuleta,2409.3,1686.5,597.0,0.0,55.2,849.8,58.6,69.4,15.3,5741.1,1.0207103168382365
7,8,Chaffee,3902.5,2024.7,1338.2,22.9,10.8,818.7,81.3,84.1,27.7,8310.9,0.9782334043244414
8,33,La Plata,10597.1,4994.3,3531.4,21.5,99.1,1931.4,202.1,186.1,63.6,21626.6,0.9344973319893094
9,15,Delta,6106.2,1866.6,2375.0,16.3,112.7,1255.0,93.4,189.6,49.2,12064.0,0.7742042440318303
10,26,Gunnison,2998.3,763.1,1868.8,16.6,36.6,901.0,48.8,44.1,15.2,6692.500000000001,0.7291744490100858
11,28,Huerfano,1181.4,1043.0,412.9,0.0,4.6,482.8,17.8,20.7,3.2,3166.4,0.5621526023244063
12,36,Las Animas,3382.7,1473.0,957.3,5.5,5.5,687.1,36.7,56.0,25.3,6629.1,0.5536196467092064
13,40,Mineral,27.0,140.6,71.5,0.0,0.0,138.8,2.0,3.7,0.0,383.59999999999997,0.5213764337851929
14,39,Mesa,45636.9,2505.8,9902.7,19.2,38.8,1618.2,316.3,479.5,168.6,60686.00000000001,0.5212075272715287
15,6,Boulder,91128.5,3716.7,28866.8,104.9,15.4,1205.6,655.2,605.2,558.5,126856.79999999999,0.5164878823996822
16,1,Alamosa,2983.0,788.7,1650.8,39.8,2.2,506.3,27.2,124.4,58.2,6180.599999999999,0.4400867229718798
17,24,Gilpin,1333.9,393.6,581.0,46.3,0.0,321.2,12.1,87.4,0.0,2775.5,0.435957485137813
18,19,Eagle,11378.9,751.9,5465.7,2.8,2.6,382.4,69.5,177.4,14.6,18245.8,0.38090957919082746
