,solarRank,rank1,rank_x,index_x,County,Estimate!!Total!!Utility gas_x,"Estimate!!Total!!Bottled, tank, or LP gas_x",Estimate!!Total!!Electricity_x,"Estimate!!Total!!Fuel oil, kerosene, etc._x",Estimate!!Total!!Coal or coke_x,Estimate!!Total!!Wood_x,Estimate!!Total!!Solar energy_x,Estimate!!Total!!Other fuel_x,Estimate!!Total!!No fuel used_x,summed,Solar Energy Percentage,perCapitaRank,rank_y,index_y,Estimate!!Total,Estimate!!Total!!Utility gas_y,"Estimate!!Total!!Bottled, tank, or LP gas_y",Estimate!!Total!!Electricity_y,"Estimate!!Total!!Fuel oil, kerosene, etc._y",Estimate!!Total!!Coal or coke_y,Estimate!!Total!!Wood_y,Estimate!!Total!!Solar energy_y,Estimate!!Total!!Other fuel_y,Estimate!!Total!!No fuel used_y,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex,Per Capita,totalRank
59,59,59,59,29,Jackson,146.4,66.6,215.1,0.0,0.0,165.3,0.0,3.8,0.0,597.2,0.0,57,57,29,596.1,146.4,66.6,215.1,0.0,0.0,165.3,0.0,3.8,0.0,8.0,57.0,2019.0,1311.25,8057.0,18.75,7.239,40.663432,-106.329248,52.4717948717949,24.8121794871795,38.85,54.993589743589695,3.92628205128205,30.6903846153846,249.032692307692,17.2615384615385,7.23076923076923,,116
57,57,57,57,34,Lake,1796.8,457.0,637.6,79.9,6.1,293.3,0.0,59.9,0.0,3330.6000000000004,0.0,58,58,34,3330.6,1796.8,457.0,637.6,79.9,6.1,293.3,0.0,59.9,0.0,8.0,65.0,2019.0,7665.5,8065.0,18.124,6.998,39.204316,-106.349696,49.3076923076923,23.0378205128205,36.2608974358974,53.8615384615385,5.84948717948718,37.1070512820513,202.535256410256,16.2301282051282,6.80769230769231,,115
47,47,47,47,49,Pitkin,3903.6,479.1,2677.5,4.6,0.0,214.1,2.4,45.2,22.4,7348.9,0.032657948808665245,61,61,49,7347.3,3903.6,479.1,2677.5,4.6,0.0,214.1,2.4,45.2,22.4,8.0,97.0,2019.0,17890.5,8097.0,6.469,2.498,39.217533,-106.915943,57.3108974358974,30.8153846153846,43.6,51.324358974359,4.64762820512821,33.1788461538462,239.626923076923,17.1038461538462,7.01282051282051,,108
55,55,55,55,9,Cheyenne,404.0,237.4,104.6,4.5,0.0,20.0,0.0,9.4,0.0,779.9,0.0,53,53,9,779.8,404.0,237.4,104.6,4.5,0.0,20.0,0.0,9.4,0.0,8.0,17.0,2019.0,2047.75,8017.0,8.166,3.153,38.835387,-102.604585,67.8538461538462,38.9365384615385,52.7480769230769,52.5775641025641,2.67089743589744,21.5185897435897,205.866025641026,17.0570512820513,6.96794871794872,,108
43,43,43,43,54,Routt,4456.3,1493.3,2819.3,0.0,28.6,872.3,10.6,102.3,0.0,9782.7,0.1083545442464759,62,62,54,9779.1,4456.3,1493.3,2819.3,0.0,28.6,872.3,10.6,102.3,0.0,8.0,107.0,2019.0,24905.5,8107.0,15.826,6.11,40.48316,-106.985289,56.0891025641026,29.4358974358974,42.4865384615385,59.0621794871795,5.60891025641026,32.1294871794872,281.31217948718,18.373717948718,7.15384615384615,,105
62,62,62,62,38,Logan,4816.0,1170.0,2138.5,4.6,0.0,101.9,0.0,55.4,4.1,8290.5,0.0,42,42,38,8290.0,4816.0,1170.0,2138.5,4.6,0.0,101.9,0.0,55.4,4.1,8.0,75.0,2019.0,22059.0,8075.0,16.364,6.318,40.728091,-103.090464,65.6339743589744,35.5910256410256,49.9333333333333,58.8724358974359,2.69762820512821,22.775641025641,234.026282051282,16.6134615384615,6.69230769230769,56.81955752919025,104
61,61,61,61,13,Crowley,863.8,217.6,131.9,0.0,0.0,101.3,0.0,0.0,4.4,1319.0,0.0,34,34,13,1319.0,863.8,217.6,131.9,0.0,0.0,101.3,0.0,0.0,4.4,8.0,25.0,2019.0,5657.75,8025.0,33.43,12.908,38.321956,-103.787562,70.749358974359,40.2775641025641,54.6365384615385,48.3166666666667,4.88807692307692,16.0083333333333,250.958333333333,16.6884615384615,6.96794871794872,14.277548836775019,95
30,30,30,30,59,Summit,5415.1,235.2,4616.6,33.2,0.0,324.8,29.7,36.1,32.1,10722.800000000003,0.2769798933114484,63,63,59,10722.8,5415.1,235.2,4616.6,33.2,0.0,324.8,29.7,36.1,32.1,8.0,117.0,2019.0,30383.75,8117.0,28.283,10.92,39.621023,-106.137555,42.7884615384615,29.1403846153846,35.5730769230769,50.0224358974359,9.74897435897436,42.2064102564103,220.18141025641,17.4544871794872,7.39102564102564,,93
42,42,42,42,20,El Paso,183180.2,9840.8,60570.3,244.4,41.3,1569.1,280.8,1243.3,1044.2,258014.39999999997,0.10883113500641828,47,47,20,258014.4,183180.2,9840.8,60570.3,244.4,41.3,1569.1,280.8,1243.3,1044.2,8.0,41.0,2019.0,693113.0,8041.0,7.112,2.746,38.827383,-104.527472,64.7839743589744,38.3980769230769,51.2070512820513,45.3608974358974,5.68923076923077,43.4416666666667,222.887820512821,13.6038461538462,5.98076923076923,168.2039571234775,89
37,37,37,37,2,Arapahoe,166959.4,3028.0,66495.2,229.4,75.3,555.7,496.0,984.7,1061.2000000000057,239884.9,0.20676582811173191,50,50,2,239884.9,166959.4,3028.0,66495.2,229.4,75.3,555.7,496.0,984.7,1061.2000000000057,8.0,5.0,2019.0,639455.75,8005.0,19.004,7.337,39.644632,-104.331733,65.7865384615385,39.8275641025641,52.123717948718,46.5762820512821,5.12807692307692,51.7217948717949,250.159615384615,14.7173076923077,6.25,358.8959887300545,87
36,36,36,36,35,Larimer,97129.2,5958.6,28285.4,89.6,38.2,1730.1,327.4,576.0,401.4,134535.90000000002,0.24335511933989362,51,51,35,134535.9,97129.2,5958.6,28285.4,89.6,38.2,1730.1,327.4,576.0,401.4,8.0,69.0,2019.0,341111.5,8069.0,98.295,37.952,40.663091,-105.482131,63.6301282051282,37.0679487179487,49.8365384615385,54.3775641025641,9.10794871794872,20.0141025641026,226.271794871795,15.0358974358974,6.53205128205128,878.6347748365012,87
63,63,63,63,63,Yuma,2327.6,1003.0,610.1,2.8,0.0,61.5,0.0,38.0,24.1,4067.1,0.0,22,22,63,4067.1,2327.6,1003.0,610.1,2.8,0.0,61.5,0.0,38.0,24.1,8.0,125.0,2019.0,10048.5,8125.0,11.135,4.299,40.000631,-102.422649,67.9897435897436,38.5294871794872,52.4070512820513,55.3698717948718,3.25871794871795,23.4769230769231,203.908974358974,16.6916666666667,6.58333333333333,4.430614161562984,85
49,49,49,49,37,Lincoln,876.5,357.9,205.0,4.8,0.0,43.8,0.0,19.4,4.9,1512.3000000000002,0.0,35,35,37,1512.3,876.5,357.9,205.0,4.8,0.0,43.8,0.0,19.4,4.9,8.0,73.0,2019.0,5565.25,8073.0,22.781,8.796,38.99374,-103.507555,65.0730769230769,33.3403846153846,48.7365384615385,52.3044871794872,4.59410256410256,22.9089743589744,281.045512820513,16.8474358974359,6.93589743589744,14.334967248711457,84
24,24,24,24,44,Morgan,5421.1,1611.9,3450.3,16.8,0.0,223.6,37.2,72.6,9.2,10842.7,0.34308797624207993,60,60,44,10840.5,5421.1,1611.9,3450.3,16.8,0.0,223.6,37.2,72.6,9.2,8.0,87.0,2019.0,28378.5,8087.0,34.474,13.31,40.262354,-103.807092,65.8807692307692,36.3403846153846,50.5346153846154,52.1692307692308,3.4723717948718,22.375641025641,224.694871794872,17.2185897435897,6.94871794871795,,84
