,County,Total Rank
8,Pueblo,36
5,Elbert,50
13,Fremont,54
18,Otero,60
21,Prowers,61
1,Mesa,61
7,Lincoln,64
33,Logan,64
22,Montezuma,65
12,Montrose,65
23,Routt,66
35,Larimer,68
9,Crowley,70
30,Douglas,71
29,Weld,75
25,Kit Carson,77
6,Delta,78
56,El Paso,79
14,Bent,79
2,Alamosa,80
11,Dolores,81
54,Arapahoe,83
28,Garfield,84
15,Rio Blanco,85
26,Phillips,85
27,Sedgwick,86
55,Denver,86
50,Adams,87
4,Las Animas,88
0,Baca,91
16,Moffat,92
49,Pitkin,93
41,Washington,93
32,Teller,96
39,Morgan,98
17,Conejos,98
58,Broomfield,98
48,Yuma,99
40,Kiowa,100
59,Jefferson,101
42,Eagle,102
37,San Juan,104
36,La Plata,105
52,Boulder,108
3,Saguache,109
10,San Miguel,110
60,Grand,111
63,Lake,113
62,Summit,114
19,Huerfano,115
44,Cheyenne,116
46,Jackson,117
61,Park,119
34,Gilpin,127
45,Gunnison,128
47,Chaffee,129
31,Rio Grande,130
24,Ouray,134
43,Hinsdale,136
20,Custer,136
38,Costilla,137
53,Archuleta,145
51,Clear Creek,150
57,Mineral,170
